SUCCESS:  Actions Class Initialised
SUCCESS:  OSCServer Class Initialised
INFO:        CPU: 0.24 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.316 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.278 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.22899999999999998 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.24 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.301 | RAM: 0.8390000000000001 | GPU: 0.98
INFO:        CPU: 0.34 | RAM: 0.8390000000000001 | GPU: 0.98
INFO:        CPU: 0.451 | RAM: 0.8390000000000001 | GPU: 0.98
INFO:        CPU: 0.34700000000000003 | RAM: 0.8390000000000001 | GPU: 0.98
INFO:        CPU: 0.188 | RAM: 0.838 | GPU: 0.98
INFO:        CPU: 0.365 | RAM: 0.8390000000000001 | GPU: 0.98
INFO:        CPU: 0.344 | RAM: 0.8390000000000001 | GPU: 0.98
INFO:        CPU: 0.33299999999999996 | RAM: 0.8390000000000001 | GPU: 0.98
INFO:        CPU: 0.32299999999999995 | RAM: 0.8390000000000001 | GPU: 0.98
INFO:        CPU: 0.21899999999999997 | RAM: 0.8390000000000001 | GPU: 0.98
INFO:        CPU: 0.25 | RAM: 0.8390000000000001 | GPU: 0.98
INFO:        CPU: 0.312 | RAM: 0.8390000000000001 | GPU: 0.98
INFO:        CPU: 0.385 | RAM: 0.8390000000000001 | GPU: 0.98
INFO:        CPU: 0.41200000000000003 | RAM: 0.8390000000000001 | GPU: 0.98
INFO:        CPU: 0.292 | RAM: 0.84 | GPU: 0.98
INFO:        CPU: 0.22899999999999998 | RAM: 0.8390000000000001 | GPU: 0.98
SUCCESS:  Actions Class Initialised
SUCCESS:  OSCServer Class Initialised
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent move forward data
SUCCESS:  Sent look right data
SUCCESS:  Sent jump data
SUCCESS:  Sent jump data
SUCCESS:  Sent jump data
SUCCESS:  Sent look upward data
SUCCESS:  Sent look downward data
SUCCESS:  Sent jump data
SUCCESS:  Sent jump data
SUCCESS:  Sent look upward data
SUCCESS:  Sent look downward data
SUCCESS:  Sent look upward data
SUCCESS:  Sent look downward data
SUCCESS:  Sent look upward data
SUCCESS:  Sent look downward data
SUCCESS:  Sent look upward data
SUCCESS:  Sent look downward data
SUCCESS:  Sent jump data
SUCCESS:  Sent look upward data
SUCCESS:  Sent look downward data
SUCCESS:  Sent look upward data
SUCCESS:  Sent look downward data
SUCCESS:  Sent look upward data
SUCCESS:  Sent look downward data
SUCCESS:  Sent look upward data
SUCCESS:  Sent look downward data
INFO:        CPU: 0.32799999999999996 | RAM: 0.95 | GPU: 0.98
INFO:        CPU: 0.223 | RAM: 0.951 | GPU: 0.98
INFO:        CPU: 0.426 | RAM: 0.951 | GPU: 0.98
INFO:        CPU: 0.259 | RAM: 0.951 | GPU: 0.98
INFO:        CPU: 0.327 | RAM: 0.951 | GPU: 0.98
INFO:        CPU: 0.242 | RAM: 0.951 | GPU: 0.98
INFO:        CPU: 0.195 | RAM: 0.951 | GPU: 0.98
INFO:        CPU: 0.195 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.25 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.305 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.289 | RAM: 0.951 | GPU: 0.98
INFO:        CPU: 0.484 | RAM: 0.951 | GPU: 0.98
INFO:        CPU: 0.67 | RAM: 0.9540000000000001 | GPU: 0.98
INFO:        CPU: 0.304 | RAM: 0.9540000000000001 | GPU: 0.98
INFO:        CPU: 0.19399999999999998 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.179 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.23199999999999998 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.35700000000000004 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.33 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.268 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.32299999999999995 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.257 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.268 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.327 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.156 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.263 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.23199999999999998 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.25 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.302 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.146 | RAM: 0.951 | GPU: 0.98
INFO:        CPU: 0.22699999999999998 | RAM: 0.951 | GPU: 0.98
INFO:        CPU: 0.377 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.237 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.24100000000000002 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.195 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.17 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.212 | RAM: 0.9520000000000001 | GPU: 0.98
INFO:        CPU: 0.302 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.28300000000000003 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.295 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.36700000000000005 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.24 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.18600000000000003 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.292 | RAM: 0.9540000000000001 | GPU: 0.98
INFO:        CPU: 0.248 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.147 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.188 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.22899999999999998 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.25 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.21100000000000002 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.20800000000000002 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.20199999999999999 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.33299999999999996 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.41200000000000003 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.17 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.268 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.23199999999999998 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.223 | RAM: 0.953 | GPU: 0.98
INFO:        CPU: 0.35100000000000003 | RAM: 0.95 | GPU: 0.98
INFO:        CPU: 0.24100000000000002 | RAM: 0.946 | GPU: 0.98
INFO:        CPU: 0.196 | RAM: 0.946 | GPU: 0.98
INFO:        CPU: 0.177 | RAM: 0.946 | GPU: 0.98
INFO:        CPU: 0.183 | RAM: 0.946 | GPU: 0.98
INFO:        CPU: 0.256 | RAM: 0.946 | GPU: 0.98
INFO:        CPU: 0.161 | RAM: 0.943 | GPU: 0.98
INFO:        CPU: 0.431 | RAM: 0.943 | GPU: 0.98
INFO:        CPU: 0.327 | RAM: 0.943 | GPU: 0.98
INFO:        CPU: 0.23800000000000002 | RAM: 0.943 | GPU: 0.98
